N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
60,유한양행,"65,600",200,+0.31%,"1,000","43,858","66,857",20.99,"228,204",24.16,2.43,
61,한미약품,"370,000","13,500",+3.79%,"2,500","43,819","11,843",14.20,"219,889","-3,523.81",7.30,
62,삼성중공업,"6,950",200,+2.96%,"5,000","43,785","630,000",14.91,"21,148,262",-3.50,-21.88,
63,HMM,"13,350",350,+2.69%,"5,000","43,618","326,726",6.24,"5,314,460",-43.06,-55.46,
64,이마트,"156,000","1,500",+0.97%,"5,000","43,486","27,876",31.59,"178,043",7.79,2.76,
65,현대제철,"32,550",550,-1.66%,"5,000","43,437","133,446",19.24,"557,382",-17.63,0.10,
66,아모레G,"52,500",200,+0.38%,500,"43,291","82,458",19.76,"116,991",185.51,4.12,
67,금호석유,"141,500","1,500",-1.05%,"5,000","43,112","30,468",27.89,"243,582",12.11,11.84,
68,한국금융지주,"76,200",900,-1.17%,"5,000","42,463","55,726",30.62,"231,261",7.21,18.14,
69,두산중공업,"16,700",400,-2.34%,"5,000","42,275","253,141",12.13,"7,980,180",-3.64,-14.73,
70,녹십자,"360,000","2,500",+0.70%,"5,000","42,072","11,687",19.83,"97,159",96.57,-0.35,
71,한국타이어앤테크놀로지,"33,650",750,-2.18%,500,"41,684","123,875",37.96,"147,288",16.19,6.03,
72,삼성카드,"33,950",0,0.00%,"5,000","39,334","115,859",10.09,"84,384",10.49,5.04,
73,현대건설,"34,550",550,-1.57%,"5,000","38,473","111,356",19.86,"644,533",16.85,6.30,
74,맥쿼리인프라,"10,850",50,-0.46%,0,"37,871","349,044",14.62,"554,914",N/A,N/A,
75,CJ대한통운,"164,000","1,500",+0.92%,"5,000","37,412","22,812",21.77,"42,706",29.57,1.41,
76,LG이노텍,"157,000","3,500",-2.18%,"5,000","37,157","23,667",35.04,"119,208",28.46,4.73,
77,롯데지주,"35,350",350,-0.98%,200,"37,085","104,909",11.38,"119,108",-5.17,-5.21,
78,삼성증권,"40,000",150,-0.37%,"5,000","35,720","89,300",25.51,"328,081",7.59,8.15,
79,동서,"34,500","2,000",+6.15%,500,"34,396","99,700",5.06,"512,287",24.87,10.53,
80,GS,"36,550",800,-2.14%,"5,000","33,961","92,915",19.85,"337,322",-39.64,6.26,
81,SKC,"89,500",900,+1.02%,"5,000","33,593","37,535",8.58,"425,138",39.72,3.86,
82,호텔신라,"80,900",100,-0.12%,"5,000","31,752","39,248",21.42,"247,161",-24.55,20.16,
83,현대차2우B,"86,700",700,+0.81%,"5,000","31,633","36,485",60.22,"92,790",20.72,N/A,
84,DB손해보험,"44,250",550,-1.23%,500,"31,329","70,800",40.65,"169,764",5.79,6.92,
85,더존비즈온,"103,500","1,000",+0.98%,500,"31,147","30,094",45.08,"50,473",64.33,18.78,
86,NH투자증권,"11,000",200,-1.79%,"5,000","30,955","281,409",14.73,"740,070",5.34,9.12,
87,에스원,"80,500","1,300",-1.59%,500,"30,589","37,999",55.04,"63,669",21.18,11.32,
88,두산밥캣,"30,300",600,-1.94%,500,"30,375","100,249",20.39,"180,156",16.40,7.05,
89,대우조선해양,"27,350",100,+0.37%,"5,000","29,344","107,291",9.00,"463,343",16.83,-1.22,
90,롯데쇼핑,"103,000","1,500",+1.48%,"5,000","29,137","28,289",11.70,"84,448",-2.17,-8.14,
91,대림산업,"81,500","2,700",-3.21%,"5,000","28,362","34,800",38.94,"522,775",4.31,11.74,
92,LG화학우,"365,500","7,000",-1.88%,"5,000","28,103","7,689",59.24,"31,661",34.15,N/A,
93,쌍용양회,"5,550",0,0.00%,"1,000","27,964","503,860",2.85,0,22.29,7.02,
94,키움증권,"125,500","2,500",-1.95%,"5,000","27,831","22,176",25.01,"65,067",8.42,16.97,
95,두산퓨얼셀,"48,450",50,-0.10%,100,"26,887","55,494",13.44,"679,372",142.08,N/A,
96,삼성엔지니어링,"13,600",450,-3.20%,"5,000","26,656","196,000",26.71,"2,450,565",10.44,24.62,
97,한국가스공사,"28,700",450,-1.54%,"5,000","26,494","92,313",9.02,"244,585",-5.28,0.48,
98,GS리테일,"33,800",150,+0.45%,"1,000","26,026","77,000",14.14,"93,341",15.41,6.25,
99,GS건설,"32,100",800,-2.43%,"5,000","25,711","80,098",28.51,"325,205",8.40,11.79,
100,휠라홀딩스,"41,250",800,-1.90%,"1,000","25,060","60,752",45.79,"280,017",13.91,23.81,
101,메리츠증권,"3,685",65,-1.73%,"1,000","24,909","675,962",12.74,"1,775,316",5.02,15.06,
102,TIGER 200,"35,020",175,-0.50%,0,"24,286","69,350",1.48,"674,983",N/A,N/A,
103,제일기획,"20,900",250,-1.18%,200,"24,044","115,041",31.97,"185,566",17.71,15.09,
104,한국항공우주,"23,800",150,-0.63%,"5,000","23,199","97,475",14.47,"278,812",17.53,15.84,
